Ticker,Company Name,Sector,Industry,Country,Currency,P/E Ratio (Trailing),P/E Ratio (Forward),Price-to-Book Ratio,Price-to-Sales Ratio,Enterprise Value,EV/EBITDA,EV/Revenue,Profit Margin,Operating Margin,Gross Margin,Return on Equity (ROE),Return on Assets (ROA),Debt-to-Equity Ratio,Current Ratio,Quick Ratio,Revenue (TTM),EPS (Trailing),EPS (Forward),Revenue Growth (YoY),Earnings Growth (YoY),Dividend Yield,Dividend Rate,Payout Ratio,Market Cap,Beta,52-Week High,52-Week Low,Average Volume,Shares Outstanding,Float Shares,Short Ratio,Book Value Per Share,Total Assets,Total Liabilities,Free Cash Flow,EBITDA,Target Price (Analyst),Recommendation Rating,Number of Analysts,Institutional Ownership (%),Insider Ownership (%),Historical Volatility (1Y),Target High Price,Target Low Price,50-Day Moving Average,200-Day Moving Average,Website
MMM,3M Company,Industrials,Conglomerates,United States,USD,21.2125,19.33291,18.963247,3.3065844,90588717056.0,15.632,3.682,0.16011,0.17781,0.4111,0.9476,0.07322,316.755,1.72,1.021,24601999360.0,7.2,7.9,0.014,-0.351,1.92,2.92,0.39720002,81348583424.0,1.098,164.15,121.98,3375564.0,532630016.0,531857389.0,1.86,8.054,39868000000.0,35974000000.0,638000000.0,5794999808.0,161.44353,2.11111,17.0,0.75828004,0.00113,0.2879853441168294,187.0,101.0,153.4298,144.4493,https://www.3m.com
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,United States,USD,19.927578,17.577394,5.430805,2.6449528,19994546176.0,26.031,5.275,0.13683,0.2035,0.38201,0.27603,0.13332,18.035,1.647,0.971,3790200064.0,3.59,4.07,-0.013,0.009,1.92,1.36,0.37330002,10024900608.0,1.25,92.06,58.83,1403941.0,114260000.0,223792544.0,1.73,13.173,3240000000.0,1356500000.0,473800000.0,768099968.0,79.83333,2.6,12.0,0.98872,0.00772,0.24982925227682004,89.0,65.0,70.183,68.32125,https://www.aosmith.com
ABT,Abbott Laboratories,Healthcare,Medical Devices,United States,USD,16.78231,25.921513,4.603828,5.400154,236505874432.0,20.65,5.486,0.32426998,0.19726999,0.56318,0.30931,0.06617,26.501,1.821,1.135,43108999168.0,7.97,5.16,0.074,0.365,1.79,2.36,0.2861,232795242496.0,0.688,141.23,110.86,6356111.0,1740460032.0,1730225115.0,2.18,29.053,81414000000.0,33513000000.0,6351000000.0,11452999680.0,142.4848,1.82143,25.0,0.80872,0.00543,0.21781292183649845,159.0,122.0,130.9216,127.43005,https://www.abbott.com
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,United States,USD,101.38095,17.551525,-2047.1152,6.4447517,438426042368.0,15.617,7.517,0.06451,0.37522,0.71245,1.1285399,0.088690005,,0.736,0.48,58327998464.0,2.1,12.13,0.066,-0.324,3.1,6.56,3.0381,376100618240.0,0.525,218.66,163.81,5470480.0,1766560000.0,1762954474.0,3.37,-0.104,135161000000.0,131797000000.0,17832000000.0,28074000384.0,216.48334,1.89286,27.0,0.74597,0.00104,0.27756809754002554,255.0,170.0,196.0872,189.2295,https://www.abbvie.com
ACN,Accenture plc,Technology,Information Technology Services,Ireland,USD,20.073132,17.947407,5.146642,2.2966855,157820665856.0,13.411,2.305,0.11607,0.16825001,0.32069,0.26928,0.112449996,25.881,1.461,1.318,68482535424.0,12.58,14.07,0.077,0.147,2.33,5.92,0.45580003,157282844672.0,1.294,398.35,236.67,3973364.0,622852992.0,621781390.0,2.88,49.065,55932363000.0,26764115000.0,8614518000.0,11767775232.0,318.86456,2.08696,22.0,0.82018995,0.00079,0.2803259682585821,372.0,240.0,271.1536,320.0234,https://www.accenture.com
ADBE,Adobe Inc.,Technology,Software - Application,United States,USD,21.835684,16.586618,12.713727,6.3975353,148701691904.0,16.738,6.579,0.30392,0.35909998,0.89248,0.52254003,0.17851,57.486,0.993,0.824,22601000960.0,15.61,20.55,0.106,0.129,,,0.0,144590700544.0,1.486,587.75,330.04,3889275.0,424200000.0,422974062.0,2.83,26.81,30230000000.0,16125000000.0,7873000000.0,8883999744.0,480.0697,1.97436,34.0,0.8607,0.00179,0.3432305572140735,605.0,280.0,362.6126,410.7373,https://www.adobe.com
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,United States,USD,95.69161,31.334312,4.344298,8.761736,261130649600.0,47.392,8.822,0.095740005,-0.01275,0.50986,0.04699,0.0219,6.513,2.491,1.174,29600000000.0,1.67,5.1,0.317,2.336,,,0.0,259337945088.0,1.916,186.65,76.48,57015259.0,1622840064.0,1611353956.0,0.69,36.785,69226000000.0,11658000000.0,2405000000.0,5510000128.0,185.646,1.69811,45.0,0.69405997,0.00505,0.5171694336179008,230.0,125.1,160.4778,125.5049,https://www.amd.com
AES,The AES Corporation,Utilities,Utilities - Diversified,United States,USD,9.742924,6.2393103,2.6766274,0.74955803,45455417344.0,14.777,3.778,0.076630004,0.14011,0.16922002,0.01742,0.022769999,313.243,0.823,0.419,12032000000.0,1.3,2.03,-0.03,,5.32,0.7,0.53610003,9018682368.0,0.907,20.3,9.46,13857630.0,712049984.0,708040725.0,3.07,4.732,47406000000.0,39702000000.0,-4640000000.0,3076000000.0,13.83333,2.35714,12.0,0.93759,0.00464,0.49649253288811546,23.0,5.0,12.7636,11.89045,https://www.aes.com
AFL,Aflac Incorporated,Financial Services,Insurance - Life,United States,USD,24.231981,15.005578,2.1154563,3.6167486,62708912128.0,18.198,3.941,0.15317,0.2101,0.41389,0.09154,0.01733,55.055,1.219,1.111,15909999616.0,4.44,7.17,-0.19,-0.642,2.17,2.32,0.48650002,57542467584.0,0.839,115.5,96.95,2566662.0,534831008.0,530199849.0,3.25,50.859,117566000000.0,91468000000.0,2707000000.0,3446000128.0,108.07692,,13.0,0.59706,0.10541,0.22018439916909363,124.0,99.0,103.6048,105.37375,https://www.aflac.com
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,United States,USD,29.350466,22.23363,5.5925565,5.2465043,37558923264.0,20.435,5.533,0.17973,0.23188,0.52577996,0.19881001,0.08354,56.421,2.248,1.542,6787999744.0,4.28,5.65,0.101,0.216,0.79,0.99,0.229,35613270016.0,1.24,153.84,96.43,1721914.0,283500000.0,282494000.0,1.83,22.462,11846000000.0,5948000000.0,1373000000.0,1838000000.0,138.16667,2.22222,15.0,0.92585,0.00291,0.3084675093982468,165.0,120.0,118.5968,123.8389,https://www.agilent.com
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,United States,USD,40.836876,20.317572,4.1237555,5.3138022,83095224320.0,19.018,6.891,0.12859,0.24295999,0.31871,0.09336001,0.045100003,103.39,1.292,1.025,12057900032.0,7.05,14.17,0.012,0.024,2.46,7.16,1.0099,64073293824.0,0.833,341.14,243.69,998180.0,222554000.0,221436421.0,5.17,69.815,39574600000.0,20900900000.0,-3150000000.0,4369200128.0,323.515,2.04167,22.0,0.94404,0.00402,0.2538191085620241,375.0,275.0,290.9398,294.92545,https://www.airproducts.com
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,United States,USD,30.054611,27.516666,9.75384,6.5466433,67394236416.0,25.393,5.82,0.22668,0.19767,0.8323,0.33262002,0.061079998,29.324,1.232,0.613,11580000256.0,4.12,4.5,0.127,0.016,,,0.0,75810127872.0,1.131,163.93,99.88,4621833.0,429080000.0,413626419.0,3.81,12.695,20959000000.0,12547000000.0,4518000000.0,2654000128.0,139.82857,2.64444,35.0,0.81859,0.01502,0.397435406181843,200.0,98.0,131.9124,131.38083,https://www.airbnb.com
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,United States,USD,27.197882,11.522455,2.56029,2.7028513,15425472512.0,13.408,3.778,0.10399,0.14934,0.59134,0.092080005,0.03808,117.988,2.31,1.983,4083250944.0,2.83,6.68,0.065,-0.174,,,0.0,11036420096.0,0.77,106.8,67.51,2028925.0,143386000.0,140147883.0,4.83,30.063,10368785000.0,5490428000.0,833904000.0,1150509056.0,95.20455,2.375,22.0,0.98753,0.01973,0.4090960913805292,133.0,66.0,77.4506,84.02355,https://www.akamai.com
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,United States,USD,,43.114132,1.1660519,1.8696722,13860517888.0,29.291,2.776,-0.18614,0.041490003,0.08164,-0.081070006,-0.00644,35.682,2.311,1.378,4993277952.0,-9.33,1.84,-0.07,,2.02,1.62,0.5797,9335792640.0,1.652,113.91,49.43,4277753.0,117683000.0,117110993.0,2.4,68.033,16609649000.0,6409961000.0,-983722000.0,473204000.0,85.46727,2.64,22.0,0.98710996,0.0040700003,0.6008953067364917,200.0,58.0,74.4144,76.4222,https://www.albemarle.com
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,United States,USD,,23.767443,0.80995405,4.5055413,31807272960.0,16.074,10.267,-0.00331,0.20363002,0.70157,0.00784,0.012,62.825,1.62,1.403,3097996032.0,-0.13,3.44,-0.018,,6.47,5.28,6.8946996,13958149120.0,1.311,125.63,67.37,1590370.0,170720992.0,154047617.0,4.03,100.944,37527449000.0,15128988000.0,1504524000.0,1978750976.0,96.41667,2.41667,12.0,0.95707,0.00987,0.30053443589268464,144.0,71.0,77.6252,87.15535,https://www.are.com
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,United States,USD,22.5499,13.011248,2.4730532,2.4406266,8815796224.0,11.03,2.224,0.110369995,0.16103001,0.69935,0.1141,0.065,3.144,1.227,1.029,3964802048.0,5.92,10.26,-0.016,0.342,,,0.0,9676601344.0,1.654,262.87,127.7,1456235.0,72486400.0,67584115.0,1.05,53.98,6214600000.0,2362615000.0,622651000.0,799243008.0,186.35715,2.0,14.0,0.94706,0.06691,0.538444437226651,220.0,140.0,169.3912,188.45406,https://www.aligntech.com
ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland,USD,23.550764,21.736843,8.136562,3.7497776,15969203200.0,17.098,4.119,0.16153,0.21497,0.44827998,0.38994,0.10665,124.847,2.303,1.557,3876600064.0,7.19,7.79,0.058,0.045,1.22,2.04,0.275,14536387584.0,1.077,172.95,116.57,909846.0,85846496.0,84757986.0,2.56,20.811,4487800000.0,2987100000.0,582900000.0,934000000.0,172.63635,2.58333,11.0,0.99444,0.01125,0.2476919327744474,182.0,163.0,159.1886,140.16635,https://www.allegion.com
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,United States,USD,19.907408,19.96904,2.3197267,3.999638,27557654528.0,15.2,6.65,0.20076999,0.23205,0.47104,0.119399995,0.02734,158.251,0.572,0.328,4144000000.0,3.24,3.23,0.075,0.996,3.15,2.03,0.6096,16574499840.0,0.546,67.11,56.08,1883906.0,256968992.0,256234295.0,6.2,27.805,22714000000.0,15710000000.0,1167000000.0,1812999936.0,68.95,2.18182,10.0,0.84135,0.0023100001,0.19215832789069587,74.5,60.0,64.0202,61.85955,https://www.alliantenergy.com
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,United States,USD,9.744471,10.88124,2.4827943,0.82400525,53348286464.0,7.187,0.806,0.087919995,0.11590999,0.24591999,0.27005,0.038310003,33.705,0.444,0.294,66218000384.0,21.25,19.03,0.058,5.867,1.96,4.0,0.18059999,54563979264.0,0.365,214.76,176.0,1562253.0,263504992.0,261695052.0,2.0,83.402,111617000000.0,90250000000.0,8721000000.0,7423000064.0,229.6842,1.86364,19.0,0.8163,0.00583,0.2599292851095381,275.0,157.0,200.1104,198.0978,https://www.allstate.com
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,United States,USD,24.331556,25.500559,7.61198,7.4241323,2741443493888.0,19.465,7.381,0.31118,0.32429,0.58943003,0.34829,0.16792,11.481,1.904,1.72,371399000064.0,9.38,8.95,0.138,0.223,0.36,0.84,0.0864,2757315264512.0,1.011,231.8,142.66,25315279.0,5430000128.0,10836344940.0,1.7,29.983,450256000000.0,125172000000.0,72764000000.0,140840992768.0,224.9842,1.5303,19.0,0.60855997,0.0669,0.31783244423670215,270.0,185.0,193.2586,180.31676,https://abc.xyz
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,United States,USD,12.882011,12.448598,-34.383064,5.522517,135414136832.0,10.77,6.684,0.43373,0.62571,0.71731,,0.23014,,0.388,0.225,20259000320.0,5.17,5.35,0.002,-0.362,6.36,4.24,0.7892,111880675328.0,0.619,68.6,48.86,8697780.0,1679890048.0,1676463975.0,4.34,-1.937,35177000000.0,37365000000.0,8611000000.0,12572999680.0,62.875,2.66667,12.0,0.62221,0.00098,0.19504408008199903,73.0,50.0,62.098,57.75085,https://www.altria.com
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,United States,USD,35.51908,37.829266,7.4302955,3.7030566,2476553535488.0,18.505,3.696,0.105399996,0.11432,0.49607,0.2477,0.07699,47.808,1.024,0.768,670038032384.0,6.55,6.15,0.133,0.333,,,0.0,2481188765696.0,1.309,242.52,161.38,41610908.0,10664899584.0,9644813255.0,1.64,31.311,624894000000.0,338924000000.0,32878000000.0,133831999488.0,263.18033,1.32836,61.0,0.66348,0.08445,0.3368467259822474,306.0,225.0,224.65,212.99585,https://www.aboutamazon.com
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,Switzerland,USD,25.937502,10.50633,1.6312894,1.274591,33741580288.0,16.564,2.248,0.03405,0.06277,0.18882,0.066020004,0.030669998,130.417,1.207,0.609,15009000448.0,0.32,0.79,0.438,,6.11,0.51,1.5859,19130337280.0,0.716,11.48,8.275,25250833.0,2304859904.0,2294488071.0,3.14,5.088,37066000000.0,25326000000.0,810000000.0,2036999936.0,10.78889,1.81818,9.0,0.6874,0.00269,0.2579278821834461,11.67,10.0,9.2714,9.5569,https://www.amcor.com
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,United States,USD,22.015383,20.359755,2.1996047,3.336244,47118360576.0,14.274,5.803,0.15113,0.22031,0.46644002,0.102189995,0.026770001,160.58,0.801,0.371,8119000064.0,4.55,4.92,0.322,0.044,2.84,2.84,0.6066,27086966784.0,0.481,104.1,82.79,1557696.0,270409984.0,269147104.0,6.47,45.54,44598000000.0,32355000000.0,-1647000000.0,3300999936.0,106.84615,1.92857,13.0,0.87276,0.00279,0.18165942327815632,121.0,90.0,99.1514,96.42535,https://www.amereninvestors.com
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,United States,USD,15.956011,18.475382,1.947422,2.8159502,106173964288.0,12.385,5.137,0.1766,0.28184,0.48759997,0.13013,0.031600002,150.71,0.552,0.293,20666699776.0,6.82,5.89,0.111,2.578,3.38,3.72,0.5381,58196393984.0,0.443,115.36,89.91,3042200.0,534795008.0,533730521.0,6.34,55.879,103078000000.0,76091900000.0,-966300000.0,8572599808.0,115.0,2.57895,15.0,0.85279,0.00028,0.19229184791769238,125.0,108.0,109.1236,103.02305,https://www.aep.com
AXP,American Express Company,Financial Services,Credit Services,United States,USD,22.949438,21.613756,7.039462,3.584996,228225040384.0,,3.598,0.15994,0.21002,0.64247,0.32808,0.03574,187.933,1.603,1.587,63435001856.0,14.24,15.12,0.092,-0.017,1.01,3.28,0.21350001,227414228992.0,1.292,332.07,220.43,2622720.0,695881984.0,542690714.0,3.66,46.424,271461000000.0,241197000000.0,12139000000.0,,321.2348,2.44828,25.0,0.65314,0.21908002,0.31790540176212195,375.0,265.0,311.6922,295.20636,https://www.americanexpress.com
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,United States,USD,15.213084,12.129657,1.097788,1.6458746,42423672832.0,4.966,1.549,0.11677,0.22721,0.33235002,0.07604,0.01852,22.293,0.632,0.234,27395999744.0,5.35,6.71,0.083,,2.21,1.8,0.3084,45090381824.0,0.716,88.07,69.24,4199219.0,554003968.0,551605013.0,2.01,74.14,161322000000.0,118772000000.0,3273000000.0,8542000128.0,88.27778,2.31579,18.0,0.95195997,0.00296,0.2318443849269948,96.0,79.0,81.1496,79.5487,https://www.aig.com
